"state_name","current_year","current_quarter","current_tx","previous_tx","growth","growth_percent"
"meghalaya",2021,2,"909594","747646","161948","21.66"
"delhi",2019,3,"69537876","57171512","12366364","21.63"
"delhi",2019,2,"57171512","47007327","10164185","21.62"
"jammu-&-kashmir",2021,1,"6997570","5754444","1243126","21.60"
"arunachal-pradesh",2021,3,"1906967","1568338","338629","21.59"
"himachal-pradesh",2021,4,"14666864","12064167","2602697","21.57"
"assam",2023,2,"138290953","113760638","24530315","21.56"
"mizoram",2024,2,"1977079","1627016","350063","21.52"
"bihar",2022,3,"437367385","360145029","77222356","21.44"
"assam",2019,1,"4533005","3734172","798833","21.39"
"karnataka",2021,1,"523797492","431536984","92260508","21.38"
"mizoram",2021,3,"478529","394340","84189","21.35"
"lakshadweep",2019,4,"3765","3104","661","21.30"
"jammu-&-kashmir",2022,4,"27316158","22534394","4781764","21.22"
"west-bengal",2022,2,"315742141","260505092","55237049","21.20"
"assam",2023,3,"167575351","138290953","29284398","21.18"
"chandigarh",2024,2,"15940973","13155173","2785800","21.18"
"tripura",2021,4,"2520693","2081200","439493","21.12"
"nagaland",2019,4,"317170","261878","55292","21.11"
"punjab",2023,2,"117290289","96910821","20379468","21.03"
"jharkhand",2021,2,"54002145","44621663","9380482","21.02"
"nagaland",2019,1,"168579","139333","29246","20.99"
"andhra-pradesh",2021,4,"522254003","432032550","90221453","20.88"
"uttar-pradesh",2023,2,"1211410582","1002557722","208852860","20.83"
"haryana",2021,4,"169686975","140459693","29227282","20.81"
"karnataka",2022,2,"1277448960","1057855407","219593553","20.76"
"assam",2022,4,"103981267","86113811","17867456","20.75"
"odisha",2021,1,"111460358","92324950","19135408","20.73"
"meghalaya",2021,3,"1097731","909594","188137","20.68"
"chhattisgarh",2023,1,"214748957","177960446","36788511","20.67"
"punjab",2024,2,"171946137","142537179","29408958","20.63"
"bihar",2021,3,"187671113","155603622","32067491","20.61"
"meghalaya",2023,4,"7268384","6029842","1238542","20.54"
"dadra-&-nagar-haveli-&-daman-&-diu",2019,4,"768971","638751","130220","20.39"
"maharashtra",2022,2,"1407533113","1169506438","238026675","20.35"
"tamil-nadu",2022,2,"354506937","294573150","59933787","20.35"
"assam",2019,2,"5454929","4533005","921924","20.34"
