"state_name","year","quarter","total_transactions","total_amount"
"karnataka",2018,2,"17116447","33515580081.30099079"
"andhra-pradesh",2018,2,"12353918","22883914272.63306176"
"telangana",2018,2,"10764670","23017201517.65230923"
"madhya-pradesh",2018,2,"10561412","15924081066.679313916"
"tamil-nadu",2018,2,"9992128","20125844276.26647219"
"rajasthan",2018,2,"9973697","15559086175.75810109"
"delhi",2018,2,"9373723","17446299902.20514675"
"bihar",2018,2,"8632378","13506131109.672049265"
"odisha",2018,2,"8158144","8488310339.61969315"
"gujarat",2018,2,"7745733","12162684771.64103561"
"haryana",2018,2,"6150931","11320414442.11641944"
"jharkhand",2018,2,"3152080","4721575659.06285335"
"chhattisgarh",2018,2,"2816156","4264170443.16164963"
"punjab",2018,2,"2581163","4684672212.007035894"
"kerala",2018,2,"2308165","3886923343.44262405"
"jammu-&-kashmir",2018,2,"1796326","2651206236.502874166"
"uttarakhand",2018,2,"1704122","2679755378.551041456"
"assam",2018,2,"1663873","2350585135.537794659"
"himachal-pradesh",2018,2,"687695","1183169301.3511195114"
"chandigarh",2018,2,"479084","961223261.7447293107"
"goa",2018,2,"229575","478603825.358615096"
"tripura",2018,2,"214559","236891718.716135943"
"dadra-&-nagar-haveli-&-daman-&-diu",2018,2,"202626","302070771.65615161566"
"manipur",2018,2,"151721","253209721.3194942237"
"puducherry",2018,2,"130261","285801119.5324368787"
"arunachal-pradesh",2018,2,"82157","198970192.34204648414"
"sikkim",2018,2,"74578","143693085.52979562267"
"meghalaya",2018,2,"67857","117004667.8418316734"
"nagaland",2018,2,"65599","153325577.8803016947"
"mizoram",2018,2,"27051","83508405.55773433143"
"ladakh",2018,2,"15010","47334902.5377414795"
"andaman-&-nicobar-islands",2018,2,"11340","28338535.50795354446"
"lakshadweep",2018,2,"2132","6187809.5394005375014"
"west-bengal",2018,3,"53705416","41843934183.1784703"
"maharashtra",2018,3,"31538538","52260817733.247032804"
"odisha",2018,3,"30052155","23094515775.58483290"
"uttar-pradesh",2018,3,"26515356","37012114369.24106688"
"karnataka",2018,3,"25980261","48225091755.80808219"
"andhra-pradesh",2018,3,"25626061","35718044599.21493118"
"telangana",2018,3,"19332703","32030093209.72355623"
"delhi",2018,3,"18547048","27375846860.61856456"
"madhya-pradesh",2018,3,"17126985","24149742204.67240194"
"tamil-nadu",2018,3,"15774078","29330092241.18416837"
"bihar",2018,3,"14367804","20135804378.90134160"
"rajasthan",2018,3,"14257098","24040768671.21244402"
"gujarat",2018,3,"11334149","17866404426.275486595"
"haryana",2018,3,"8262024","16375139007.627700976"
"jharkhand",2018,3,"8122621","8661571417.70461812"
"chhattisgarh",2018,3,"3859604","6302307073.446315696"
"punjab",2018,3,"3462108","7065687043.82119355"
"kerala",2018,3,"3134348","5323025223.875455679"
"assam",2018,3,"2351851","3811134989.914273349"
"jammu-&-kashmir",2018,3,"2303961","3934700999.4576699045"
"uttarakhand",2018,3,"2229132","3726573039.858497179"
"himachal-pradesh",2018,3,"886754","1754041432.8580287647"
"chandigarh",2018,3,"616936","1369354447.5343115051"
"tripura",2018,3,"377703","453863388.0405927748"
"goa",2018,3,"339511","713166969.23823406983"
"dadra-&-nagar-haveli-&-daman-&-diu",2018,3,"289575","447639595.67817528606"
"puducherry",2018,3,"190271","417658075.4942069822"
"manipur",2018,3,"189258","383331244.794122380"
"arunachal-pradesh",2018,3,"131146","331726406.7413913712"
"meghalaya",2018,3,"110290","209853661.5343941976"
"sikkim",2018,3,"108500","235080226.9533178451"
"nagaland",2018,3,"94371","241792742.93665320129"
"mizoram",2018,3,"39316","116600738.12539040134"
"ladakh",2018,3,"24864","84090977.14484603979"
"andaman-&-nicobar-islands",2018,3,"16265","55557471.1343111111785"
"lakshadweep",2018,3,"1703","4339032.311985848907"
"maharashtra",2018,4,"46090223","79518937047.83362792"
"karnataka",2018,4,"44812071","73008386576.06797155"
"west-bengal",2018,4,"36513548","40489619211.70435881"
"uttar-pradesh",2018,4,"36100767","55096743575.91730032"
"andhra-pradesh",2018,4,"30759548","51473779406.84100783"
"delhi",2018,4,"29187719","39722857618.70639822"
"telangana",2018,4,"28921154","49509088448.04850812"
"tamil-nadu",2018,4,"22457444","43302073975.89410558"
"madhya-pradesh",2018,4,"21397555","33905608072.967319996"
"odisha",2018,4,"21142798","23429869571.56130224"
"rajasthan",2018,4,"20959723","37909087083.338672374"
"bihar",2018,4,"15732401","28397997168.57769443"
"gujarat",2018,4,"14733303","24830987102.78259987"
"haryana",2018,4,"12950183","25390876016.45592710"
"jharkhand",2018,4,"6284043","10241916641.12236251"
"chhattisgarh",2018,4,"5365844","9416412664.971485467"
"punjab",2018,4,"4887137","10781982573.649789307"
"kerala",2018,4,"4310654","7747361236.812408876"
"assam",2018,4,"3734172","5888022859.01310833"
"uttarakhand",2018,4,"3178761","5654272137.963896778"
"jammu-&-kashmir",2018,4,"2721310","5664720265.697518556"
"himachal-pradesh",2018,4,"1307883","2621298968.139249202"
"chandigarh",2018,4,"905116","2032591591.7799746538"
"goa",2018,4,"514755","1153005078.9224049479"
"tripura",2018,4,"448059","624885599.4644466104"
"dadra-&-nagar-haveli-&-daman-&-diu",2018,4,"404082","658750616.8008867073"
"puducherry",2018,4,"307964","625691665.4234947901"
"manipur",2018,4,"236110","605683559.3060118376"
"arunachal-pradesh",2018,4,"176429","504040029.09176033392"
"meghalaya",2018,4,"161132","337585679.00467382976"
"sikkim",2018,4,"154533","383141358.0782537971"
"nagaland",2018,4,"139333","388013467.54562377437"
"mizoram",2018,4,"55242","190426852.52952956513"
"ladakh",2018,4,"35211","135522842.49263744334"
"andaman-&-nicobar-islands",2018,4,"23758","90548336.0744551731"
"lakshadweep",2018,4,"1642","4463213.6982228312244"
"karnataka",2019,1,"86587609","117976382145.75729407"
"maharashtra",2019,1,"75079069","111420690920.34101816"
"telangana",2019,1,"65290702","95523262035.664694325"
"uttar-pradesh",2019,1,"57324504","76524180134.00966429"
"andhra-pradesh",2019,1,"57264522","83760595917.07639468"
"west-bengal",2019,1,"47626388","50164672623.87978927"
"delhi",2019,1,"47007327","58469131789.497274633"
"rajasthan",2019,1,"43956040","61141158575.55400776"
"madhya-pradesh",2019,1,"37301049","48070279522.047845943"
"odisha",2019,1,"34031942","35427127930.699647814"
"tamil-nadu",2019,1,"32275045","56204036816.129966233"
"bihar",2019,1,"26356234","41502827514.526255443"
"gujarat",2019,1,"24991451","35856080308.476943597"
"haryana",2019,1,"22135775","34051655721.631639841"
"jharkhand",2019,1,"9387708","13627236449.27810580"
"chhattisgarh",2019,1,"7887669","12544556385.328441568"
"punjab",2019,1,"7172137","13574490001.853166199"
"kerala",2019,1,"6469039","10235031134.849678532"
"uttarakhand",2019,1,"5546001","7183529175.27394830"
"assam",2019,1,"4533005","8002099536.4508519205"
"jammu-&-kashmir",2019,1,"3584987","5951835476.521016012"
"himachal-pradesh",2019,1,"2168718","3381481442.9910522967"
"chandigarh",2019,1,"1274476","2396032050.4440286266"
"goa",2019,1,"738812","1475323397.2765767595"
"dadra-&-nagar-haveli-&-daman-&-diu",2019,1,"661814","843369776.0499005491"
"tripura",2019,1,"580926","756894941.61582014067"
"puducherry",2019,1,"501092","906473024.306521832"
"manipur",2019,1,"265409","659898060.42407915048"
"sikkim",2019,1,"240287","457993634.38409389205"
"arunachal-pradesh",2019,1,"226506","609950106.31394966265"
"meghalaya",2019,1,"208741","399037162.153435020045"
"nagaland",2019,1,"168579","441941712.41233011634"
"mizoram",2019,1,"70306","218160895.39740252777"
"ladakh",2019,1,"46145","152859920.94912718405"
"andaman-&-nicobar-islands",2019,1,"30486","102299740.67348987029"
"lakshadweep",2019,1,"2481","8786130.47933899424"
"karnataka",2019,2,"115401604","163702024226.084276035"
"maharashtra",2019,2,"101149853","153294470088.05833801"
"telangana",2019,2,"89610379","155676443182.43510909"
"uttar-pradesh",2019,2,"58883500","98917519370.675694394"
"delhi",2019,2,"57171512","81706816063.62829871"
"andhra-pradesh",2019,2,"56409015","113634518758.229966537"
"rajasthan",2019,2,"50009286","89107313172.665433935"
"west-bengal",2019,2,"47023535","57105691119.11872400"
"madhya-pradesh",2019,2,"40846013","68334566380.557875467"
"tamil-nadu",2019,2,"32171737","64207676025.757674832"
"bihar",2019,2,"29960479","63132438283.54189414"
"odisha",2019,2,"29512024","44754854871.67384438"
"gujarat",2019,2,"28981842","49320615219.267464132"
"haryana",2019,2,"22741816","42501539813.216210818"
"jharkhand",2019,2,"10128211","18622701305.54632074"
"chhattisgarh",2019,2,"9389945","17002355688.82229529"
"punjab",2019,2,"8509830","18614793394.772316579"
"kerala",2019,2,"7283826","13031371561.185545114"
"assam",2019,2,"5454929","10954969189.126210084"
"uttarakhand",2019,2,"4813275","8588532850.9184907117"
"himachal-pradesh",2019,2,"2502306","4875883973.6105993057"
"jammu-&-kashmir",2019,2,"2296355","6100142201.563505754"
"chandigarh",2019,2,"1252470","2693116098.944455990"
"goa",2019,2,"768441","1591867103.3876161027"
"puducherry",2019,2,"580077","1211446910.1278074321"
"tripura",2019,2,"532558","841821482.8473771987"
"dadra-&-nagar-haveli-&-daman-&-diu",2019,2,"489656","824441276.56507085898"
"sikkim",2019,2,"388244","738894243.43594121385"
"arunachal-pradesh",2019,2,"258656","752655874.3550281661"
"manipur",2019,2,"257425","722789942.14950027564"
"meghalaya",2019,2,"232286","492931289.10727894128"
"nagaland",2019,2,"188753","520066682.15850433968"
"mizoram",2019,2,"75671","248016708.135014306509"
"ladakh",2019,2,"68772","259255506.99742497416"
"andaman-&-nicobar-islands",2019,2,"33689","120254709.67566317767"
"lakshadweep",2019,2,"2926","9242524.13698888819"
"karnataka",2019,3,"170733735","214536720438.188456016"
"maharashtra",2019,3,"148735581","199617506744.95090031"
"telangana",2019,3,"121495376","201930021130.42596018"
"andhra-pradesh",2019,3,"76288614","139447944254.793933203"
"delhi",2019,3,"69537876","103196812046.456866105"
"uttar-pradesh",2019,3,"68623959","111268137475.04972625"
"rajasthan",2019,3,"67303617","112468290031.93027455"
"west-bengal",2019,3,"66444829","70540532616.83047261"
"madhya-pradesh",2019,3,"53610411","77676321491.24330902"
"odisha",2019,3,"41422272","57304577359.223222774"
"tamil-nadu",2019,3,"41410183","78959604643.638421334"
"gujarat",2019,3,"38228649","59462694964.267799447"
"bihar",2019,3,"32139900","67692783254.27891873"
"haryana",2019,3,"30343531","52489119199.442035394"
"jharkhand",2019,3,"14220647","21465973993.3591410"
"chhattisgarh",2019,3,"12243111","19803259167.453527415"
"punjab",2019,3,"10706812","22905815605.843339416"
"kerala",2019,3,"9286096","16429809722.064485468"
"assam",2019,3,"5942571","12950443620.426497716"
"uttarakhand",2019,3,"5710476","9729032070.017324922"
"himachal-pradesh",2019,3,"2735180","5572018781.1233352326"
"chandigarh",2019,3,"1506543","3269682087.660840833"
"jammu-&-kashmir",2019,3,"1116526","3744230491.7824683152"
"goa",2019,3,"1092416","2000367191.4968416024"
"puducherry",2019,3,"716826","1460708357.4554108939"
"tripura",2019,3,"711717","1017377422.8172246354"
"dadra-&-nagar-haveli-&-daman-&-diu",2019,3,"638751","961471473.84837199094"
"sikkim",2019,3,"552436","884716448.4404283085"
"arunachal-pradesh",2019,3,"370234","912645034.79587028835"
"manipur",2019,3,"345008","863552002.5629343821"
"meghalaya",2019,3,"306550","612218602.1535332154"
"nagaland",2019,3,"261878","650956471.71341148946"
"mizoram",2019,3,"98094","278793899.95134216609"
"ladakh",2019,3,"92396","331129527.19382229054"
"andaman-&-nicobar-islands",2019,3,"33770","114071776.08729392938"
"lakshadweep",2019,3,"3104","9651761.463768470205"
"karnataka",2019,4,"237796252","295047143447.23227437"
"maharashtra",2019,4,"201260620","272994428799.550418255"
"telangana",2019,4,"163572258","280746765547.743906934"
"andhra-pradesh",2019,4,"107218103","200948315488.791166923"
"west-bengal",2019,4,"96805838","88203610254.64673392"
"uttar-pradesh",2019,4,"86905005","145538926507.29606911"
"rajasthan",2019,4,"85074242","159452410049.67043061"
"delhi",2019,4,"80744997","129024467424.890702326"
"madhya-pradesh",2019,4,"68131989","104687926790.858228638"
"odisha",2019,4,"64995633","79769373632.05054838"
"tamil-nadu",2019,4,"56596411","103190865512.54332921"
"bihar",2019,4,"43530314","93313426577.809282427"
"gujarat",2019,4,"42547632","76690662054.91406684"
"haryana",2019,4,"37825985","69359719869.101286863"
"jharkhand",2019,4,"18248618","28147748376.677117536"
"chhattisgarh",2019,4,"16305758","27143788737.213387746"
"punjab",2019,4,"13698625","29989802246.192447725"
"kerala",2019,4,"12498637","21151326637.804747857"
"uttarakhand",2019,4,"7362116","12573706305.1507821233"
"assam",2019,4,"6760510","15281983895.5120746254"
"himachal-pradesh",2019,4,"3516646","7271163537.2481820214"
"chandigarh",2019,4,"1850915","4152513817.9393509765"
"goa",2019,4,"1515272","2923460348.4994676878"
"puducherry",2019,4,"1012655","1932028317.8789026935"
"tripura",2019,4,"801824","1215400160.25818950313"
"dadra-&-nagar-haveli-&-daman-&-diu",2019,4,"768971","1226641262.01104030114"
"sikkim",2019,4,"767070","1176509601.6562177219"
"jammu-&-kashmir",2019,4,"489928","1929695997.8225971046"
"arunachal-pradesh",2019,4,"459475","1190573179.5272826439"
"manipur",2019,4,"449344","1200897682.0886364341"
"meghalaya",2019,4,"365981","742436471.79021885248"
"nagaland",2019,4,"317170","834537138.3487750470"
"mizoram",2019,4,"125239","368689350.6344884468"
"ladakh",2019,4,"84706","324689360.02811157877"
"andaman-&-nicobar-islands",2019,4,"35159","136838530.5173778948"
"lakshadweep",2019,4,"3765","11269913.40492385276656"
"karnataka",2020,1,"271033890","353402054999.3977793"
"maharashtra",2020,1,"238944081","319995196718.0955102"
"telangana",2020,1,"199409525","371343780368.21611747"
"andhra-pradesh",2020,1,"127677357","252737214289.062797515"
"rajasthan",2020,1,"102258812","190308238561.00807177"
"uttar-pradesh",2020,1,"97239132","172416434960.698667045"
"delhi",2020,1,"81747604","133616543642.59007317"
"madhya-pradesh",2020,1,"79366746","126737281436.194225774"
"tamil-nadu",2020,1,"66953473","116569686179.440374865"
"west-bengal",2020,1,"66250381","96653305190.93817569"
"odisha",2020,1,"53682307","91956798199.333154494"
"gujarat",2020,1,"47326417","86995076621.90312152"
"bihar",2020,1,"45081815","109256853527.246086445"
"haryana",2020,1,"44036087","81976214558.24407225"
"chhattisgarh",2020,1,"19523991","32860597671.356230386"
"jharkhand",2020,1,"18282713","33611232153.268801634"
"kerala",2020,1,"15733522","26451084830.934253386"
"punjab",2020,1,"15217784","31374185265.899666832"
"uttarakhand",2020,1,"9131784","16158080258.987571561"
"assam",2020,1,"8808860","20668428347.729243706"
"himachal-pradesh",2020,1,"4144480","7419466751.1226869466"
"chandigarh",2020,1,"2262511","5126453070.0162000207"
"goa",2020,1,"1881237","3410371231.9237624902"
"puducherry",2020,1,"1207921","2205277477.0795833104"
"tripura",2020,1,"924502","1588778806.3885024285"
"jammu-&-kashmir",2020,1,"921630","2937643176.5340167155"
"dadra-&-nagar-haveli-&-daman-&-diu",2020,1,"878579","1342763369.2925178523"
"manipur",2020,1,"818801","2598590380.8769433720"
"arunachal-pradesh",2020,1,"567175","1381758681.33014683363"
"sikkim",2020,1,"528118","1053476271.94440209547"
"meghalaya",2020,1,"502283","1120134840.90781409066"
"nagaland",2020,1,"378051","894780028.73437000346"
"mizoram",2020,1,"153609","392077579.3496370621"
"ladakh",2020,1,"116419","377639677.4457435153"
"andaman-&-nicobar-islands",2020,1,"41298","161476312.29727463887"
"lakshadweep",2020,1,"5151","13502368.574504207914"
"karnataka",2020,2,"213221712","321104877020.1379404"
"maharashtra",2020,2,"184790761","296359517159.4149106"
"telangana",2020,2,"152055143","321531839352.43094092"
"andhra-pradesh",2020,2,"144917855","302583689746.56375313"
"rajasthan",2020,2,"101954656","193763273003.26537148"
"uttar-pradesh",2020,2,"100851965","178744016130.28819042"
"madhya-pradesh",2020,2,"76340573","147922015289.06244186"
"delhi",2020,2,"66042018","107873438203.33102441"
"west-bengal",2020,2,"57676797","100099431877.35534232"
"bihar",2020,2,"53386742","128806523628.84400737"
"tamil-nadu",2020,2,"51870110","95826508896.82854790"
"odisha",2020,2,"50028576","91733036612.096547415"
"gujarat",2020,2,"47420185","80387846359.490630305"
"haryana",2020,2,"41781050","80711264923.94069368"
"jharkhand",2020,2,"20141511","37486201975.92359764"
"chhattisgarh",2020,2,"18820925","32268382206.901354376"
"kerala",2020,2,"16287967","25894078478.600195463"
"punjab",2020,2,"14081294","30284654252.213645534"
"assam",2020,2,"10505199","19766300125.919446960"
"uttarakhand",2020,2,"9047770","16094187702.101018506"
"himachal-pradesh",2020,2,"4695730","8036904762.543935429"
"jammu-&-kashmir",2020,2,"2635006","8265648939.258548418"
"chandigarh",2020,2,"1528010","3847015729.6900752726"
"goa",2020,2,"1482092","2183616430.016771877"
"manipur",2020,2,"1083068","3198936212.8055110975"
"tripura",2020,2,"1052520","1769175883.5859622828"
"puducherry",2020,2,"1033383","1960030980.4875911274"
"dadra-&-nagar-haveli-&-daman-&-diu",2020,2,"973152","1302376453.8880579046"
"arunachal-pradesh",2020,2,"808774","1826716832.9849633859"
"meghalaya",2020,2,"635395","1153735154.338396934"
"sikkim",2020,2,"517731","1054618788.2612664453"
"nagaland",2020,2,"517566","1137674504.3478007270"
"mizoram",2020,2,"198462","457193433.44231823286"
"ladakh",2020,2,"155010","523792998.65202434353"
"andaman-&-nicobar-islands",2020,2,"62962","169645001.4141470669"
"lakshadweep",2020,2,"7220","16942922.085944397674"
"karnataka",2020,3,"300360531","470740515696.6816798"
"maharashtra",2020,3,"268310924","440307079012.44499906"
"telangana",2020,3,"236372126","505961144755.86990181"
"andhra-pradesh",2020,3,"204902935","467084130584.90837476"
"rajasthan",2020,3,"149088676","293678306162.45802211"
"uttar-pradesh",2020,3,"127405259","248689955423.06284658"
"madhya-pradesh",2020,3,"108579881","205701679984.53811291"
"delhi",2020,3,"96491861","175163962804.6606164"
"west-bengal",2020,3,"79954504","156813355855.14107350"
"bihar",2020,3,"71503748","173328865111.81839405"
"tamil-nadu",2020,3,"70277825","143841415498.66409260"
"odisha",2020,3,"66033829","122463943804.29266165"
"gujarat",2020,3,"59290179","111921752484.71221093"
"haryana",2020,3,"57938179","109567950445.73077838"
"jharkhand",2020,3,"27068473","50622615820.013642456"
"chhattisgarh",2020,3,"24148539","41526744807.53408214"
"kerala",2020,3,"21758680","40164150651.95419359"
"punjab",2020,3,"17209573","40123092147.813388544"
"assam",2020,3,"12397711","29831391259.544068544"
"uttarakhand",2020,3,"11818935","22103510968.006535153"
"himachal-pradesh",2020,3,"5489876","10516054014.086982020"
"jammu-&-kashmir",2020,3,"3465898","11977229760.872473401"
"chandigarh",2020,3,"2158086","5089809353.365071305"
"goa",2020,3,"1915531","3368343580.944660386"
"puducherry",2020,3,"1730902","3598080229.4346031613"
"manipur",2020,3,"1420168","4615976120.8705057625"
"tripura",2020,3,"1317885","2341819516.2158839655"
"dadra-&-nagar-haveli-&-daman-&-diu",2020,3,"1138312","1749789114.9993623792"
"arunachal-pradesh",2020,3,"962827","2609938565.5582172647"
"nagaland",2020,3,"736319","2009649143.1547950407"
"meghalaya",2020,3,"597579","1237059001.3830346512"
"sikkim",2020,3,"596435","1400926728.6603987766"
"mizoram",2020,3,"254703","707944175.5046004852"
"ladakh",2020,3,"228222","835487500.0581932327"
"andaman-&-nicobar-islands",2020,3,"117483","338019446.3303604406"
"lakshadweep",2020,3,"8589","21306833.30865683342"
"karnataka",2020,4,"431536984","658036698565.01836337"
"maharashtra",2020,4,"407621004","622155530832.2941778"
"telangana",2020,4,"343643787","696350439226.95698301"
"andhra-pradesh",2020,4,"286118552","654841546033.33098191"
"rajasthan",2020,4,"190283435","386034779836.50434457"
"uttar-pradesh",2020,4,"178167517","357428826778.26789155"
"madhya-pradesh",2020,4,"153652541","284275139772.37137864"
"delhi",2020,4,"120540417","216265088224.54349638"
"tamil-nadu",2020,4,"111179701","206473197500.99473919"
"west-bengal",2020,4,"100340645","199165491365.64814644"
"bihar",2020,4,"96591673","238905613136.47277240"
"odisha",2020,4,"92324950","178302663014.61725064"
"haryana",2020,4,"83171439","159998504366.54177938"
"gujarat",2020,4,"77828547","148393060112.43923368"
"jharkhand",2020,4,"39431633","72805174830.043555516"
"chhattisgarh",2020,4,"35529636","62214974283.94856362"
"kerala",2020,4,"33288187","56755256647.01138606"
"punjab",2020,4,"22997925","53775406479.555016846"
"uttarakhand",2020,4,"17613271","31792739329.110384167"
"assam",2020,4,"15423454","40226611319.264210923"
"himachal-pradesh",2020,4,"7272328","13989053108.812903903"
"jammu-&-kashmir",2020,4,"5754444","15380905803.378202311"
"goa",2020,4,"3801381","6899792747.579934037"
"chandigarh",2020,4,"2912716","6146762901.349342712"
"puducherry",2020,4,"2716003","4930526217.671205975"
"dadra-&-nagar-haveli-&-daman-&-diu",2020,4,"1817791","2700511100.8285053976"
"tripura",2020,4,"1651890","3182130996.221308721"
"manipur",2020,4,"1627852","5602224558.4587542187"
"arunachal-pradesh",2020,4,"1209129","3570264021.8456189994"
"nagaland",2020,4,"847825","2773084870.5626857174"
"meghalaya",2020,4,"754008","1804242572.198970514"
"sikkim",2020,4,"735035","1919275805.122923429"
"ladakh",2020,4,"332134","1111963470.5079603117"
"mizoram",2020,4,"322607","986522115.6939577439"
"andaman-&-nicobar-islands",2020,4,"224531","627282656.3148524903"
"lakshadweep",2020,4,"11650","30111317.91708038776"
"karnataka",2021,1,"523797492","754995357412.39324919"
"maharashtra",2021,1,"517860240","769887352153.25015854"
"telangana",2021,1,"412572110","799359264046.58960123"
"andhra-pradesh",2021,1,"289747970","672444670176.61617784"
"rajasthan",2021,1,"252730919","491492581657.64538265"
"uttar-pradesh",2021,1,"204499547","396287587577.5660547"
"madhya-pradesh",2021,1,"201998498","343533954382.2885541"
"delhi",2021,1,"157359004","266928345043.49262535"
"tamil-nadu",2021,1,"136556674","248668143873.65066126"
"west-bengal",2021,1,"118254052","242937207475.52193012"
"bihar",2021,1,"114932477","280973649701.22808163"
"odisha",2021,1,"111460358","213397736188.34086817"
"gujarat",2021,1,"94774565","183700780713.45039302"
"haryana",2021,1,"90252784","168938301082.42836911"
"jharkhand",2021,1,"44621663","83749353123.13959631"
"kerala",2021,1,"42316342","69260970161.89461692"
"chhattisgarh",2021,1,"39436437","69409843261.55156213"
"punjab",2021,1,"26770835","58690887091.10669042"
"uttarakhand",2021,1,"20608402","36288189399.89842285"
"assam",2021,1,"19512060","51326464546.12237517"
"himachal-pradesh",2021,1,"7614029","14120546909.487528021"
"jammu-&-kashmir",2021,1,"6997570","17138349893.151728515"
"goa",2021,1,"5331549","9757242879.021425423"
"chandigarh",2021,1,"3970237","7596420859.545995919"
"puducherry",2021,1,"3309432","5899309571.743650658"
"manipur",2021,1,"2303535","7070287514.4792427675"
"dadra-&-nagar-haveli-&-daman-&-diu",2021,1,"1925244","2965632911.1935047858"
"tripura",2021,1,"1511423","3335341569.793421692"
"arunachal-pradesh",2021,1,"1177456","3813779079.0166438279"
"nagaland",2021,1,"975897","3107450484.613199041"
"sikkim",2021,1,"800189","2217667726.8407248017"
"meghalaya",2021,1,"747646","2055515277.9898358824"
"mizoram",2021,1,"329575","1101105586.9459377229"
"ladakh",2021,1,"275415","983419813.2468792368"
"andaman-&-nicobar-islands",2021,1,"244752","783706567.3897556333"
"lakshadweep",2021,1,"9085","27042782.914081152345"
"maharashtra",2021,2,"573616486","915115055623.7015894"
"karnataka",2021,2,"530649046","837887151230.04931347"
"telangana",2021,2,"495867544","1027958332797.58387245"
"andhra-pradesh",2021,2,"352767134","850737499108.24530337"
"rajasthan",2021,2,"287477039","561702765169.24451898"
"uttar-pradesh",2021,2,"241949131","482172489166.38627663"
"madhya-pradesh",2021,2,"223314680","425500768035.62481951"
"delhi",2021,2,"170157264","281941097684.54139343"
"bihar",2021,2,"155603622","374580255186.57890561"
"tamil-nadu",2021,2,"146158442","263487341026.55191284"
"west-bengal",2021,2,"141897437","279434811058.5639351"
"odisha",2021,2,"131824337","245864117477.27437986"
"gujarat",2021,2,"111841396","210162054552.11709048"
"haryana",2021,2,"105680856","200357354238.68403684"
"jharkhand",2021,2,"54002145","104432643311.45796586"
"kerala",2021,2,"47191033","74226806436.15651047"
"chhattisgarh",2021,2,"44689420","78728771259.22602643"
"punjab",2021,2,"32171248","69531058562.61518319"
"assam",2021,2,"25432905","59192473376.663827941"
"uttarakhand",2021,2,"24000432","40990817874.838228005"
"jammu-&-kashmir",2021,2,"10027819","22813755428.591642688"
"himachal-pradesh",2021,2,"9483902","16495634539.809226567"
"goa",2021,2,"4710135","8012853587.076005758"
"chandigarh",2021,2,"4417547","8417673939.936105111"
"puducherry",2021,2,"3751387","6498834696.543893462"
"manipur",2021,2,"3086275","7889827962.396641195"
"dadra-&-nagar-haveli-&-daman-&-diu",2021,2,"2125083","3157668461.4189041824"
"tripura",2021,2,"1744429","3468154361.0362734195"
"arunachal-pradesh",2021,2,"1568338","4456425616.9943817719"
"nagaland",2021,2,"1130791","3156293963.7818686408"
"sikkim",2021,2,"976714","2424899579.6752991203"
"meghalaya",2021,2,"909594","2193617254.8905991775"
"ladakh",2021,2,"399716","1427259095.4703196341"
"mizoram",2021,2,"394340","1122874473.3020927609"
"andaman-&-nicobar-islands",2021,2,"341414","899147016.1122960300"
"lakshadweep",2021,2,"11384","27383463.657951531369"
"maharashtra",2021,3,"792874060","1159257305167.4439017"
"karnataka",2021,3,"753296539","1133234739157.5893857"
"telangana",2021,3,"622886768","1178289126292.2538533"
"andhra-pradesh",2021,3,"432032550","984218035564.11644939"
